;form;lemmi;postag;conteggio_lemmi;conteggio_postag
24635;ἐπίπροσθεν;['ἐπίπροσθεν'];['d--------'];1;1
24636;ἀποχωρεῖν;['ἀποχωρέω'];['v--pna---'];1;1
24637;ηὐλίζοντο;['αὐλίζομαι'];['v3piie---'];1;1
24638;ἐσβεβληκότας;['εἰσβάλλω'];['v-prpama-'];1;1
24639;ἀποκεχωρηκότας;['ἀποχωρέω'];['v-prpama-'];1;1
24640;ἄρχοντές;['ἄρχων'];['n-p---mn-'];1;1
24641;ἐκάκιζε;['κακίζω'];['v3siia---'];1;1
24642;ξυνεῖναι;['συνίημι'];['v--ana---'];1;1
24643;ὑπτίῳ;['ὕπτιος'];['a-s---nd-'];1;1
24644;ἐμπεπτώκασιν;['ἐμπίτνω'];['v3pria---'];1;1
24645;Καλλινίκου;['Καλλίνικος'];['n-s---mg-'];1;1
24646;ὄχθης;['ὄχθη'];['n-s---fg-'];1;1
24647;διανυκτερεύσαντες;['διανυκτερεύω'];['v-papamn-'];1;1
24648;Σούρων;['Σοῦρος'];['n-p---mg-'];1;1
24649;συσκευαζομένους;['συσκευάζω'];['v-pppema-'];1;1
24650;ἄφοδον;['ἄφοδος'];['n-s---fa-'];1;1
24651;Πασχαλία;['Πασχαλίος'];['a-s---fn_'];1;1
24652;ἐπιγενησομένη;['ἐπιγίγνομαι'];['v-sfpmfn-'];1;1
24653;ἀπεχόμενοι;['ἀπέχω'];['v-pppemn-'];1;1
24654;διημερεύειν;['διημερεύω'];['v--pna---'];1;1
24655;νήστεις;['νῆστις'];['a-p---ma-', 'n-p---ma-'];1;2
24656;ὀργῶντας;['ὀργάω'];['v-pppama-'];1;1
24657;ἀποστῆσαι;['ἀφίστημι'];['v--ana---'];1;1
24658;ἐγίνωσκεν;['γινώσκω'];['v3siia---'];1;1
24659;παραγενομένους;['παραγίγνομαι'];['v-papmma-'];1;1
24660;Ποῖ;['ποῖ'];['d--------'];1;1
24661;φέρεσθε;['φέρω'];['v2ppie---', 'v2ppme---'];1;2
24662;πεπονθότες;['πάσχω'];['v-prpamn-'];1;1
24663;βουλεύεσθε;['βουλεύω'];['v2ppie---'];1;1
24664;ἀκίβδηλον;['ἀκίβδηλος'];['a-s---fa-'];1;1
24665;ἀπόνασθαι;['ἀπονίναμαι'];['v--anm---'];1;1
24666;ἐλπίσιν;['ἐλπίς'];['n-p---fd-'];1;1
24667;ἠγμένοι;['ἄγω'];['v-prpemn-'];1;1
24668;ἐκπεπτωκότες;['ἐκπίτνω'];['v-prpamn-'];1;1
24669;μεταβάλλεσθαι;['μεταβάλλω'];['v--pne---'];1;1
24670;ἀναγκάσωμεν;['ἀναγκάζω'];['v1pasa---'];1;1
24671;ἕξομεν;['ἔχω'];['v1pfia---'];1;1
24672;ξυντετύχηκε;['συντυγχάνω'];['v3sria---'];1;1
24673;ξυνδιεφθάρησαν;['συνδιαφθείρομαι'];['v3paip---'];1;1
24674;τρέποι;['τρέπω'];['v3spoa---'];1;1
24675;στερησόμεθα;['στερέω'];['v1pasm---'];1;1
24676;ἀφαιρεθέντες;['ἀφαιρέω'];['v-pappmn-'];1;1
24677;προέμενοι;['προίημι'];['v-papmmn-'];1;1
24678;ἐκκεῖσθαι;['ἔκκειμαι'];['v--pne---'];1;1
24679;ἐνθυμεῖσθαι;['ἐνθυμέομαι'];['v--pne---'];1;1
24680;αὐθαιρέτων;['αὐθαίρετος'];['a-p---mg-'];1;1
24681;ξυναίρεσθαι;['συναίρω'];['v--pne---'];1;1
24682;ἀνδραγαθίζεσθαι;['ἀνδραγαθίζομαι'];['v--pne---'];1;1
24683;ἑκουσίοις;['ἑκούσιος'];['a-p---md-'];1;1
24684;ξυμβήσεται;['συμβαίνω'];['v3sfim---'];1;1
24685;βαδίζοντες;['βαδίζω'];['v-pppamn-'];1;1
24686;τυγχάνομεν;['τυγχάνω'];['v1ppia---'];1;1
24687;πάρεισι;['πάρειμι'];['v3ppia---'];1;1
24688;παραβύστῳ;['παράβυστος'];['a-s---nd-'];1;1
24689;μαλθακόν;['μαλθακός'];['a-s---ma-'];1;1
24690;διαλυτὴν;['διαλυτής'];['n-s---ma-'];1;1
24691;εὔτολμον;['εὔτολμος'];['a-s---na-'];1;1
24692;ἐνδεικνύμενοι;['ἐνδείκνυμι'];['v-pppemn-'];1;1
24693;ἀναισχύντῳ;['ἀναίσχυντος'];['a-s---nd-'];1;1
24694;ἀντιστρέψας;['ἀντιστρέφω'];['v-sapamn-'];1;1
24695;ἐγκελευομένῳ;['ἐγκελεύω'];['v-sppemd-'];1;1
24696;διατάσσοντι;['διατάσσω'];['v-sppamd-'];1;1
24697;ἔφασκέ;['φάσκω'];['v3siia---'];1;1
24698;ἀμείνονι;['ἀμείνων'];['a-s---fdc'];1;1
24699;διέταξεν;['διατάσσω'];['v3saia---'];1;1
24700;πεζοὺς;['πεζός'];['a-p---ma-'];1;1
24701;χῶρος;['χῶρος'];['n-s---mn-'];1;1
24702;ἀνάντης;['ἀνάντης'];['a-s---mn-'];1;1
24703;Σαρακηνοὺς;['Σαρακηνοί'];['n-p---ma-'];1;1
24704;ξυνιόντας;['σύνειμι'];['v-pppama-'];1;1
24705;παρεκελεύσατο;['παρακελεύομαι'];['v3saim---'];1;1
24706;διαφυγοῦσι;['διαφεύγω'];['v-papamd-'];1;1
24707;βούλοιντο;['βούλομαι'];['v3ppoe---'];1;1
24708;βελτίστων;['βέλτιστος'];['a-p---ngs'];1;1
24709;ἑλέσθαι;['αἱρέω'];['v--anm---'];1;1
24710;εὐκλείᾳ;['εὔκλεια'];['n-s---fd-'];1;1
24711;κρατοῦντος;['κρατέω'];['v-sppamg-'];1;1
24712;ἀγομένοις;['ἄγω'];['v-pppemd-'];1;1
24713;ἄνοια;['ἄνοια'];['n-s---fn-'];1;1
24714;αἰσχίστων;['αἰσχρός'];['a-p---mgs', 'a-p---ngs'];1;2
24715;κρείσσω;['κρείσσων'];['a-p---nn-'];1;1
24716;ἀντίξουν;['ἀντίξοος'];['a-s---fa-'];1;1
24717;εὐώνυμα;['εὐώνυμος'];['a-p---na-'];1;1
24718;βαλλόμενα;['βάλλω'];['v-pppena-', 'v-pppenn-'];1;2
24719;μεταιχμίῳ;['μεταίχμιον'];['n-s---nd-'];1;1
24720;τοξευμάτων;['τόξευμα'];['n-p---ng-'];1;1
24721;βάραθρον;['βάραθρον'];['n-s---na-'];1;1
24722;ἐμπεσεῖσθαί;['ἐμπίπτω'];['v--fnm---'];1;1
24723;δεινοῦ;['δεινός'];['a-s---ng-'];1;1
24724;ᾐσθῆσθαι;['αἰσθάνομαι'];['v--rne---'];1;1
24725;λευκότατόν;['λευκός'];['a-s---nns'];1;1
24726;ὑπερβολῇ;['ὑπερβολή'];['n-s---fd-'];1;1
24727;ἔντιμον;['ἔντιμος'];['a-s---nn-'];1;1
24728;ὠτὸς;['οὖς'];['n-s---ng-'];1;1
24729;ἀφελόντα;['ἀφαιρέω'];['v-sapama-'];1;1
24730;φοροίη;['φορέω'];['v3spoa---'];1;1
24731;βολὰς;['βολή'];['n-p---fa-'];1;1
24732;ἐκδιδάσκονται;['ἐκδιδάσκω'];['v3ppie---'];1;1
24733;τόξων;['τόξον'];['n-p---ng-'];1;1
24734;μαλθακῶν;['μαλθακός'];['a-p---ng-'];1;1
24735;ἐντεταμένων;['ἐντείνω'];['v-prpemg-', 'v-prpeng-'];1;2
24736;θώρακι;['θώραξ'];['n-s---md-'];1;1
24737;κράνει;['κράνος'];['n-s---nd-'];1;1
24738;ἀσπίδι;['ἀσπίς'];['n-s---fd-'];1;1
24739;ἀπεκαυλίζετό;['ἀποκαυλίζω'];['v3siie---'];1;1
24740;προσπίπτοντα;['προσπίπτω'];['v-sppama-'];1;1
24741;βραδύτερα;['βραδύς'];['a-p---nnc'];1;1
24742;σκληρῶν;['σκληρός'];['a-p---ng-'];1;1
24743;ὑπεράγαν;['ὑπεράγαν'];['d--------'];1;1
24744;προσθείη;['προστίθημι'];['v3saoa---'];1;1
24745;ἰσχυροτέρων;['ἰσχυρός'];['a-p---mgc'];1;1
24746;σίνονται;['σίνομαι'];['v3ppie---'];1;1
24747;ὅπλου;['ὅπλον'];['n-s---ng-'];1;1
24748;ῥύμῃ;['ῥύμη'];['n-s---fd-'];1;1
24749;παρῳχήκεσαν;['παρῳχακέω'];['v3piia---'];1;1
24750;μοῖραι;['μοῖρα'];['n-p---fn-'];1;1
24751;ἀγχώμαλος;['ἀγχώμαλος'];['a-s---fn-'];1;1
24752;ἐσήλαυνον;['εἰσελαύνω'];['v3piia---'];1;1
24753;Σαρακηνοὶ;['Σαρακηνοί', 'Σαρακηνός'];['n-p---mn-'];2;1
24754;προὔδοσαν;['προδίδωμι'];['v3paia---'];1;1
24755;διαρρήξαντες;['διαρρήγνυμι'];['v-papamn-'];1;1
24756;κεκμηκότες;['κάμνω'];['v-prpamn-'];1;1
24757;ἐνοχλούμενοι;['ἐνοχλέω'];['v-pppemn-'];1;1
24758;μένοντες;['μένω'];['v-pppamn-'];1;1
24759;ὀκτακόσιοι;['ὀκτακόσιοι'];['a-p---mn-'];1;1
24760;Ὁμήρῳ;['Ὅμηρος'];['n-s---md-'];1;1
24761;τοξεύουσιν;['τοξεύω'];['v-pppamd-'];1;1
24762;ὑβρίζεσθαι;['ὑβρίζω'];['v--pne---'];1;1
24763;ὀνομαζομένοις;['ὀνομάζω'];['v-pppemd-'];1;1
24764;ξυνέβαινεν;['συμβαίνω'];['v3siia---'];1;1
24765;ὑπῆν;['ὕπειμι'];['v3siia---'];1;1
24766;ἤμυνεν;['ἀμύνω'];['v3siia---'];1;1
24767;ἀποκεκρύφθαι;['ἀποκρύπτω'];['v--rne---'];1;1
24768;ἑταίρου;['ἑταῖρος'];['n-s---mg-'];1;1
24769;ἐκλεγομένοις;['ἐκλέγω'];['v-pppemd-'];1;1
24770;στήλῃ;['στήλη'];['n-s---fd-'];1;1
24771;τύμβῳ;['τύμβος'];['n-s---md-'];1;1
24772;κεκλιμένοις;['κλίνω'];['v-prpemd-'];1;1
24773;διασώζεσθαι;['διασῴζω'];['v--pne---'];1;1
24774;οὖς;['οὖς'];['n-s---na-'];1;1
24775;ξυγκεκόφθαι;['συγκόπτω'];['v--rne---'];1;1
24776;ἀπειρίᾳ;['ἀπειρία'];['n-s---fd-'];1;1
24777;γεωργίας;['γεωργία'];['n-s---fg-'];1;1
24778;ἀγνοίᾳ;['ἄγνοια'];['n-s---fd-'];1;1
24779;ὀργῶντες;['ὀργάω'];['v-pppamn-'];1;1
24780;δειλίαν;['δειλία'];['n-s---fa-'];1;1
24781;Λυκάονες;['Λυκάων'];['n-p---mn-'];1;1
24782;μείνας;['μένω'];['v-sapamn-'];1;1
24783;ἀντέχοντας;['ἀντέχω'];['v-pppama-'];1;1
24784;ἠμύνατο;['ἀμύνω'];['v3saim---'];1;1
24785;φυγὼν;['φεύγω'];['v-sapamn-'];1;1
24786;Πέτρῳ;['Πέτρος'];['n-s---md-'];1;1
24787;ἔτυχον;['τυγχάνω'];['v1saia---', 'v3paia---'];1;2
24788;ἀμύνασθαι;['ἀμύνω'];['v--anm---'];1;1
24789;ἐπανῆκον;['ἐπανήκω'];['v3piia---'];1;1
24790;τρέψαντες;['τρέπω'];['v-papamn-'];1;1
24791;κύκλωσις;['κύκλωσις'];['n-s---fn-'];1;1
24792;αὖθίς;['αὖθις'];['d--------'];1;1
24793;πεζοί;['πεζός'];['a-p---mn-'];1;1
24794;πρίασθαι;['πρίαμαι'];['v--anm---', 'v--pne---'];1;2
24795;τρέπεσθαι;['τρέπω'];['v--pne---'];1;1
24796;χρῷ;['χρώς'];['n-s---md-'];1;1
24797;ξυναγόμενοι;['συνάγω'];['v-pppemn-'];1;1
24798;ἀσπίσι;['ἀσπίς'];['n-p---fd-'];1;1
24799;ἔβαλλον;['βάλλω'];['v3piia---'];1;1
24800;ἐβάλλοντο;['βάλλω'];['v3piie---'];1;1
24801;ξυνταράξοντές;['συνταράσσω'];['v-pfpamn-'];1;1
24802;διαλύσοντες;['διαλύω'];['v-pfpamn-'];1;1
24803;ἄπρακτοι;['ἄπρακτος'];['a-p---mn-'];1;1
24804;ἀσπίδων;['ἀσπίς'];['n-p---fg-'];1;1
24805;πατάγῳ;['πάταγος'];['n-s---md-'];1;1
24806;ἀνεχαιτίζοντό;['ἀναχαιτίζω'];['v3piie---'];1;1
24807;ἐπιβάταις;['ἐπιβάτης'];['n-p---md-'];1;1
24808;διαγεγόνασί;['διαγίγνομαι'];['v3pria---'];1;1
24809;ὁλκάδος;['ὁλκάς'];['n-s---fg-'];1;1
24810;ἐπιτυχὼν;['ἐπιτυγχάνω'];['v-sapamn-'];1;1
24811;κατῆρεν;['καταίρω'];['v3saia---'];1;1
24812;νηχόμενοι;['νήχω'];['v-pppemn-'];1;1
24813;ἐκομίσθησαν;['κομίζω'];['v3paip---'];1;1
24814;ἐσκυλευκότες;['σκυλεύω'];['v-prpamn-'];1;1
24815;σφετέρους;['σφέτερος'];['a-p---ma-'];1;1
24816;ἐλάσσους;['ἐλάσσων'];['a-p---mac'];1;1
24817;εὐημερήσας;['εὐημερέω'];['v-sapamn-'];1;1
24818;κοφίνους;['κόφινος'];['n-p---ma-'];1;1
24819;ἐξηγήσεσθαι;['ἐξηγέομαι'];['v--rne---'];1;1
24820;ἐπίδοξός;['ἐπίδοξος'];['a-s---mn-'];1;1
24821;παριέναι;['παρέρχομαι', 'παρίημι'];['v--pna---'];2;1
24822;ταρπὰς;['ταρπή'];['n-p---fa-'];1;1
24823;σφραγῖδι;['σφραγίς'];['n-s---fd-'];1;1
24824;κατασεσημασμένας;['κατασημαίνω'];['v-prpefa-'];1;1
24825;ἐπανίοι;['ἐπάνειμι'];['v3spoa---'];1;1
24826;ἀρρίχων;['ἄρριχος'];['n-p---fg-'];1;1
24827;εὑρέσθαι;['εὑρίσκω'];['v--anm---'];1;1
24828;ζήτησιν;['ζήτησις'];['n-s---fa-'];1;1
24829;ἀριθμοῦντες;['ἀριθμέω'];['v-pppamn-'];1;1
24830;βελῶν;['βέλος'];['n-p---ng-'];1;1
24831;ἀνῄρηται;['ἀναιρέω', 'ἀναλέγω'];['v3srie---'];2;1
24832;ἀγγέλλουσι;['ἀγγέλλω'];['v3ppia---'];1;1
24833;ἐπανηκόντων;['ἐπανήκω'];['v-pppamg-'];1;1
24834;τετελευτήκασιν;['τελευτάω'];['v3pria---'];1;1
24835;παραστησάμενος;['παρίστημι'];['v-sapmmn-'];1;1
24836;Ῥωμαϊκὸν;['Ῥωμαικός'];['a-s---na-'];1;1
24837;ἥκοι;['ἥκω'];['v3spoa---'];1;1
24838;καταστρεψόμενος;['καταστρέφω'];['v-sfpmmn-'];1;1
24839;στρατεύσειεν;['στρατεύω'];['v3saoa---'];1;1
24840;νενικηκέναι;['νικάω'];['v--rna---'];1;1
24841;Ἀζαρέθῃ;['Ἀζαρέθης'];['n-s---md-'];1;1
24842;ταρπῶν;['τάρπη'];['n-p---fg-'];1;1
24843;ἀνῃρεῖτο;['ἀναιρέω'];['v3siie---'];1;1
24844;ὠνείδιζέ;['ὀνειδίζω'];['v3siia---'];1;1
24845;ἀτιμοτάτοις;['ἄτιμος'];['a-p---mds'];1;1
24846;Αἰθίοπάς;['Αἰθίοψ'];['n-p---ma-'];1;1
24847;Ὁμηρίτας;['Ὁμηρίτης'];['n-p---ma-'];1;1
24848;ἑταιρίσασθαι;['ἑταιρίζω'];['v--anm---'];1;1
24849;ξυνοίσειν;['συμφέρω'];['v--fna---'];1;1
24850;Παλαιστίνης;['Παλαιστίνη'];['n-s---fg-'];1;1
24851;Ἐρυθρὰν;['ἐρυθρός'];['a-s---fa-'];1;1
24852;εὑρομένους;['εὑρίσκω'];['v-papmma-'];1;1
24853;Ἰνδῶν;['Ἰνδός'];['n-p---mg-'];1;1
24854;ἀρχομένη;['ἄρχω'];['v-sppefn-'];1;1
24855;Αἰλὰς;['Αἰλάς'];['n-s---mn-'];1;1
24856;καλουμένη;['καλέω'];['v-sppefn-'];1;1
24857;ἀπολήγουσα;['ἀπολήγω'];['v-sppafn-'];1;1
24858;πορθμός;['πορθμός'];['n-s---mn-'];1;1
24859;στενὸς;['στενός'];['a-s---mn-'];1;1
24860;νότον;['νότος'];['n-s---ma-'];1;1
24861;τετραμμένα;['τρέπω'];['v-prpenn-'];1;1
24862;ὁρατὴ;['ὁρατός'];['a-s---fn-'];1;1
24863;Ἰωτάβην;['Ἰωτάβη'];['n-s---fa-'];1;1
24864;Αἰλᾶ;['Αἰλάς'];['n-s---mg-'];1;1
24865;Ἑβραῖοι;['Ἑβραῖος'];['n-p---mn-'];1;1
24866;γεγένηνται;['γίγνομαι'];['v3prie---'];1;1
24867;πέλαγος;['πέλαγος'];['n-s---na-', 'n-s---nn-'];1;2
24868;ἐκδέχεται;['ἐκδέχομαι'];['v3spie---'];1;1
24869;ἐσπλέοντες;['εἰσπλέω'];['v-pppamn-'];1;1
24870;εὐώνυμον;['εὐώνυμος'];['a-s---fa-'];1;1
24871;ἐπιγινομένης;['ἐπιγίγνομαι'];['v-sppefg-'];1;1
24872;ὁρμίζονται;['ὁρμίζω'];['v3ppie---'];1;1
24873;ναυτίλλεσθαι;['ναυτίλλομαι'];['v--pne---'];1;1
24874;ἀδύνατά;['ἀδύνατος'];['a-p---nn-'];1;1
24875;βράχους;['βράχος'];['n-p---ma-'];1;1
24876;ἔμπλεων;['ἔμπλεος'];['a-s---fa-'];1;1
24877;ὅρμοι;['ὅρμος'];['n-p---mn-'];1;1
24878;πλέουσιν;['πλέω'];['v-pppamd-'];1;1
24879;παρατύχοι;['παρατυγχάνω'];['v3saoa---'];1;1
24880;ἠϊόνα;['ἠιών'];['n-s---fa-'];1;1
24881;φοινικῶνι;['φοινικών'];['n-s---md-'];1;1
24882;φοινικὼν;['φοινικών'];['n-s---mn-'];1;1
24883;μεσογείᾳ;['μεσόγεια'];['n-s---fd-'];1;1
24884;κατατείνων;['κατατείνω'];['v-sppamn-'];1;1
24885;φοίνικες;['φοῖνιξ'];['n-p---mn-'];1;1
24886;φύονται;['φύω'];['v3ppie---'];1;1
24887;Ἀβοχάραβος;['Ἀβοχάραβος'];['n-s---mn-'];1;1
24888;φύλαρχον;['φύλαρχος'];['n-s---ma-'];1;1
24889;Παλαιστίνῃ;['Παλαιστίνη'];['n-s---fd-'];1;1
24890;ἀδῄωτόν;['ἀδῄωτος'];['a-s---fa-'];1;1
24891;διεφύλαξε;['διαφυλάσσω'];['v3saia---'];1;1
24892;ἀρχομένοις;['ἄρχω'];['v-pppemd-'];1;1
24893;φοινικῶνα;['φοινικών'];['n-s---ma-'];1;1
24894;μετεῖναι;['μεθίημι'];['v--ana---'];1;1
24895;ὁπωστιοῦν;['ὁπωσοῦν'];['c--------', 'd--------'];1;2
24896;ἄνυδρος;['ἄνυδρος'];['a-s---fn-'];1;1
24897;δώρου;['δῶρον'];['n-s---ng-'];1;1
24898;Μαδδηνοὶ;['Μαδδηνοί'];['n-p---mn-'];1;1
24899;καλοῦνται;['καλέω'];['v3ppie---'];1;1
24900;Ὁμηριτῶν;['Ὁμηρῖται'];['n-p---mg-'];1;1
24901;Ὁμηρῖται;['Ὁμηρῖται'];['n-p---mn-'];1;1
24902;ἐπέκεινα;['ἐπέκεινα'];['d--------'];1;1
24903;ἀνθρωποφάγους;['ἀνθρωποφάγος'];['a-p---ma-'];1;1
24904;ἱδρῦσθαί;['ἱδρύω'];['v--rne---'];1;1
24905;λεγέτω;['λέγω'];['v3spma---'];1;1
24906;ἄπιστος;['ἄπιστος'];['a-s---mn-'];1;1
24907;ἠπείρῳ;['ἤπειρος'];['n-s---fd-'];1;1
24908;Αἰθίοπες;['Αἰθίοψ'];['n-p---mn-'];1;1
24909;οἰκοῦσιν;['οἰκέω'];['v3ppia---'];1;1
24910;Αὐξωμῖται;['Αὐξωμῖται'];['n-p---mn-'];1;1
24911;βασίλειά;['βασίλειον'];['n-p---nn-'];1;1
24912;Αὐξώμιδι;['Αὐξῶμις'];['n-s---fd-'];1;1
24913;ἐπιφόρου;['ἐπίφορος'];['a-s---mg-'];1;1
24914;διάπλουν;['διάπλοος'];['n-s---ma-'];1;1
24915;βράχος;['βράχος'];['n-s---mn-'];1;1
24916;Ἐρυθρὰ;['Ἐρυθρός'];['a-s---fn-'];1;1
24917;κέκληται;['καλέω'];['v3srie---'];1;1
24918;ἐκπλέοντι;['ἐκπλέω'];['v3ppia---'];1;1
24919;Αἰλὰν;['Αἰλάς'];['n-s---ma-'];1;1
24920;Ἀραβικὸς;['Ἀραβικός'];['a-s---mn-'];1;1
24921;κόλπος;['κόλπος'];['n-s---mn-'];1;1
24922;Γάζης;['Γάζα'];['n-s---fg-'];1;1
24923;Ἀραβία;['Ἀραβία'];['n-s---fn-'];1;1
24924;Πέτραις;['Πέτραι'];['n-p---fd-'];1;1
24925;Ἀράβων;['Ἄραψ'];['n-p---mg-'];1;1
24926;ὅρμος;['ὅρμος'];['n-s---mn-'];1;1
24927;ἀπαίροντες;['ἀπαίρω'];['v-pppamn-'];1;1
24928;Αἰθίοπας;['Αἰθίοψ'];['n-p---ma-'];1;1
24929;Βουλικὰς;['Βουλικάς'];['n-s---_n-'];1;1
24930;διαπλεύσαντες;['διαπλέω'];['v-papamn-'];1;1
24931;καταίρουσιν;['καταίρω'];['v-pppamd-', 'v3ppia---'];1;2
24932;Ἀδουλιτῶν;['Ἀδουλῖται'];['n-p---mg-'];1;1
24933;Ἄδουλις;['Ἄδουλις'];['n-s---fn-'];1;1
24934;διείργεται;['διείργω'];['v3spie---'];1;1
24935;ἐπιθαλάσσιος;['ἐπιθαλάσσιος'];['a-s---mn-'];1;1
24936;Αὐξώμιδος;['Αὐξῶμις'];['n-s---_g-'];1;1
24937;κτενὶ;['κτείς'];['n-s---md-'];1;1
24938;κτένα;['κτείς'];['n-s---ma-'];1;1
24939;ταύτη;['ταύτῃ'];['d-------p'];1;1
24940;Ἰνδοῖς;['Ἰνδός'];['n-p---md-'];1;1
24941;ᾧπερ;['ὅς'];['p-s---md-'];1;1
24942;πίσσῃ;['πίσσα'];['n-s---fd-'];1;1
24943;χρίονται;['χρίω'];['v3ppie---'];1;1
24944;διαμπερὲς;['διαμπερές'];['d--------'];1;1
24945;ἀλλήλας;['ἀλλήλων'];['p-p---fa-'];1;1
24946;ξυμπεπήγασιν;['συμπήγνυμι'];['v3pria---'];1;1
24947;βρόχοις;['βρόχος'];['n-p---md-'];1;1
24948;ξυνδέδενται;['συνδέω'];['v3prie---'];1;1
24949;ἑαυτὰς;['ἑαυτοῦ'];['p-p---fa-'];1;1
24950;ἕλκουσαι;['ἕλκω'];['v-pppafn-'];1;1
24951;πλεούσαις;['πλέω'];['v-pppafd-'];1;1
24952;ἡρμοσμέναις;['ἁρμόζω'];['v-prpefd-'];1;1
24953;Ἰνδοὶ;['Ἰνδός'];['n-p---mn-'];1;1
24954;ἁλόντι;['ἁλίσκομαι'];['v-sapamd-'];1;1
24955;Ἐρυθρᾷ;['Ἐρυθρός'];['a-s---fd-'];1;1
24956;καλουμένῃ;['καλέω'];['v-sppefd-'];1;1
24957;ἑκάτερά;['ἑκάτερος'];['a-p---na-'];1;1
24958;Ἐλεφαντίνη;['Ἐλεφαντίνη'];['n-s---fn-'];1;1
24959;οἰκεῖται;['οἰκέω'];['v3spie---'];1;1
24960;εὐζώνῳ;['εὔζωνος'];['a-s---md-'];1;1
24961;Βλέμυές;['Βλέμυες'];['n-p---mn-'];1;1
24962;Νοβάται;['Νοβάτης'];['n-p---mn-'];1;1
24963;πολυανθρωπότατα;['πολυάνθρωπος'];['a-p---nns'];1;1
24964;Βλέμυες;['Βλέμυς'];['n-p---mn-'];1;1
24965;Νεῖλον;['Νεῖλος'];['n-s---ma-'];1;1
24966;ἀνεῳγέναι;['ἀνοίγνυμι'];['v--rna---'];1;1
24967;ὄστρακα;['ὄστρακον'];['n-p---na-'];1;1
24968;Διοκλητιανὸς;['Διοκλητιανός'];['n-s---mn-'];1;1
24969;κατενόησεν;['κατανοέω'];['v3saia---'];1;1
24970;φόρος;['φόρος'];['n-s---mn-'];1;1
24971;ὑψηλαὶ;['ὑψηλός'];['a-p---fn-'];1;1
24972;ἀνέχουσαι;['ἀνέχω'];['v-pppafn-'];1;1
24973;πάμπολύ;['παμπολύς'];['a-s---na-'];1;1
24974;ἵδρυτο;['ἱδρύω'];['v3sli----'];1;1
24975;δαπάναις;['δαπάνη'];['n-p---fd-'];1;1
24976;Ὄασιν;['Ὄασις'];['n-s---fa-'];1;1
24977;ᾠκημένοι;['οἰκέω'];['v-prpemn-'];1;1
24978;ἦγόν;['ἄγω'];['v3piia---'];1;1
24979;ἀνέπεισεν;['ἀναπείθω'];['v3saia---'];1;1
24980;ἠθῶν;['ἦθος'];['n-p---ng-'];1;1
24981;ἱδρύσασθαι;['ἱδρύω'];['v--anm---'];1;1
24982;πόλεσί;['πόλις'];['n-p---fd-'];1;1
24983;ἧσπερ;['ὅς'];['p-s---fg-'];1;1
24984;ἐνοχλήσειν;['ἐνοχλέω'];['v--fna---'];1;1
24985;διδομένης;['δίδωμι'];['v-sppefg-'];1;1
24986;μεταποιουμένους;['μεταποιέω'];['v-pppema-'];1;1
24987;ἀποκρούσεσθαι;['ἀποκρούω'];['v--fnm---'];1;1
24988;Βλέμυάς;['Βλέμυς'];['n-p---ma-'];1;1
24989;Νοβάτας;['Νοβάτης'];['n-p---ma-'];1;1
24990;μετανάστασιν;['μετανάστασις'];['n-s---fa-'];1;1
24991;Ἐλεφαντίνης;['Ἐλεφαντίνη'];['n-s---fg-'];1;1
24992;Βλέμυσιν;['Βλέμυς'];['n-p---md-'];1;1
24993;ἔταξε;['τάσσω'];['v3saia---'];1;1
24994;ῥητόν;['ῥητός'];['a-s---na-'];1;1
24995;ληίσωνται;['ληίζομαι'];['v3pasm---'];1;1
24996;κομιζόμενοι;['κομίζω'];['v-pppemn-'];1;1
24997;καταθέουσι;['καταθέω'];['v3ppia---'];1;1
24998;Νείλῳ;['Νεῖλος'];['n-s---md-'];1;1
24999;δειμάμενος;['δέμω'];['v-sapmmn-'];1;1
25000;ὀχυρώτατον;['ὀχυρός'];['a-s---nas'];1;1
25001;κοινούς;['κοινός'];['a-p---ma-'];1;1
25002;ἱερεῖς;['ἱερεύς'];['n-p---ma-'];1;1
25003;Φίλας;['Φίλα'];['n-s---fg-'];1;1
25004;ἐπωνόμασε;['ἐπονομάζω'];['v3saia---'];1;1
25005;Ἶσιν;['Ἶσις'];['n-s---fa-'];1;1
25006;Ὄσιριν;['Ὄσιρις'];['n-s---ma-'];1;1
25007;σέβουσι;['σέβω'];['v3ppia---'];1;1
25008;Πρίαπον;['Πρίαπος'];['n-s---ma-'];1;1
25009;εἰκασθῆναι;['εἰκάζω'];['v--anp---'];1;1
25010;Φίλαις;['Φίλαι'];['n-p---fd-'];1;1
25011;ηὐτομοληκότος;['αὐτομολέω'];['v-srpamg-'];1;1
25012;καθεῖλε;['καθαιρέω'];['v3saia---'];1;1
25013;Ἑλλησθεαῖος;['Ἑλλησθεαῖος'];['n-s---mn-'];1;1
25014;Αἰθιόπων;['Αἰθίοψ'];['n-p---mg-'];1;1
25015;Χριστιανός;['Χριστιανός'];['n-s---mn-'];1;1
25016;Ἰουδαίους;['Ἰουδαῖος'];['a-p---ma-'];1;1
25017;παλαιὰν;['παλαιός'];['a-s---fa-'];1;1
25018;Χριστιανοὺς;['Χριστιανός'];['n-p---ma-'];1;1
25019;Χριστιανὸν;['Χριστιανός'];['n-s---ma-'];1;1
25020;Ὁμηρίτην;['Ὁμηρίτης'];['n-s---ma-'];1;1
