form,lemmi_originari,lemmi_dizionario,match_ratio
παρίεσαν,['παρίημι'],['παρίημι'],1/1
πολυπόνους,['πολύπονος'],['πολύπονος'],1/1
τλήμονας,['τλήμων'],['τλήμων'],1/1
λέοντας,['λέων'],['λέων'],1/1
αἱρεῖν,['αἱρέω'],['αἱρέω'],2/2
κάπρους,['κάπρος'],['κάπρος'],2/2
σοβεῖν,['σοβέω'],['σοβέω'],1/1
σχολάζῃ,['σχολάζω'],['σχολάζω'],1/1
περιιών,['περίειμι1'],['περίειμι'],0/1
Ἀνταίους,['Ἀνταῖος'],['Ἀνταῖος'],1/1
Βουσίριδας,['Βούσιρις'],['Βούσιρις'],1/1
παύειν,['παύω'],['παύω'],2/2
μιαιφονοῦντας,['μιαιφονέω'],['μιαιφονέω'],1/1
περικομιζόμενος,['περικομίζω'],['περικομίζω'],1/1
τρυφαὶ,['τρυφή'],['τρυφή'],1/1
Μηδικαὶ,['Μηδικός'],['Μηδικός'],1/1
Χαλυβώνιος,['Χαλυβώνιος'],['Χαλυβώνιος'],1/1
κοσμήσαντα,['κοσμέω'],['κοσμέω'],1/1
ἐθάδας,['ἐθάς'],['ἐθάς'],1/1
συντρεφόμενον,['συντρέφω'],['συντρέφω'],1/1
συναυξανόμενον,['συναυξάνω'],['συναυξάνω'],1/1
φιλοφρονούμενος,['φιλοφρονέομαι'],['φιλοφρονέομαι'],1/1
παιδικόν,['παιδικόν'],['παιδικόν'],1/1
ἀναδενδράδος,['ἀναδενδράς'],['ἀναδενδράς'],1/1
κρεμαστῶν,['κρεμαστός'],['κρεμαστός'],1/1
κήπων,['κῆπος'],['κῆπος'],1/1
κυριωτάτοις,['κύριος'],['κύριος'],1/1
διαπυνθανόμενος,['διαπυνθάνομαι'],['διαπυνθάνομαι'],1/1
διαγωνίζεται,['διαγωνίζομαι'],['διαγωνίζομαι'],1/1
βραχύταται,['βραχύς'],['βραχύς'],1/1
ἐμπεφυκὼς,['ἐμφύω'],['ἐμφύω'],1/1
ἀπέστρεφε,['ἀποστρέφω'],['ἀποστρέφω'],1/1
ἀνθεῖλκεν,['ἀνθέλκω'],['ἀνθέλκω'],1/1
περιέβαλλεν,['περιβάλλω'],['περιβάλλω'],1/1
Τριβαλλικοὺς,['Τριβαλλικός'],['Τριβαλλικός'],1/1
μηχανωμένη,['μηχανάομαι'],['μηχανάομαι'],1/1
Σκυθίας,['Σκυθία'],['Σκυθία'],1/1
περιδραμὼν,['περιτρέχω'],['περιτρέχω'],1/1
κατεργασάμενος,['κατεργάζομαι'],['κατεργάζομαι'],1/1
ἐνέσεισε,['ἐνσείω'],['ἐνσείω'],1/1
ἀτερπέστατον,['ἀτερπής'],['ἀτερπής'],1/1
Φύλαρχός,['Φύλαρχος'],['Φύλαρχος'],3/3
Περδίκκας,"['Περδίκκης', 'Περδίκκας']",['Περδίκκης'],1/3
καταλείπεις,['καταλιμπάνω'],['καταλείπω'],0/1
μεθέξομεν,['μετέχω'],['μετέχω'],2/2
μυριάνδρων,['μυρίανδρος'],['μυρίανδρος'],1/1
ἐκμετρουμένη,['ἐκμετρέω'],['ἐκμετρέω'],1/1
στόλοι,['στόλος'],['στόλος'],2/2
μάστιγες,['μάστιξ'],['μάστιξ'],1/1
μανικὰ,['μανικός'],['μανικός'],1/1
κολαστήρια,['κολαστήριον'],['κολαστήριον'],1/1
παραλλήλου,['παράλληλος'],['παράλληλος'],1/1
ἅμιλλα,['ἅμιλλα'],['ἅμιλλα'],1/1
εὐψυχίαν,['εὐψυχία'],['εὐψυχία'],3/3
εὐάρμοστον,['εὐάρμοστος'],['εὐάρμοστος'],1/1
εὐστάθειαν,['εὐστάθεια'],['εὐστάθεια'],1/1
βουλαῖς,['βουλή'],['βουλή'],1/1
τελεσιουργόν,['τελεσιουργός'],['τελεσιουργός'],1/1
συνήρμοσεν,['συναρμόζω'],['συναρμόζω'],2/2
τερπικεραύνῳ,['τερπικέραυνος'],['τερπικέραυνος'],1/1
Ἄρεϊ,['Ἄρης'],['Ἄρης'],1/1
ζώνην,['ζώνη'],['ζώνη'],2/2
συνήρμοσε,['συναρμόζω'],['συναρμόζω'],1/1
συνέθηκεν,['συντίθημι'],['συντίθημι'],1/1
Βρασίδου,"['Βρασίδης', 'Βρασίδας']",['Βρασίδης'],1/2
σωφρονέστερος,['σώφρων'],['σώφρων'],1/1
μεγαλοψυχότερος,['μεγαλόψυχος'],['μεγαλόψυχος'],1/1
ἀπελύτρωσεν,['ἀπολυτρόω'],['ἀπολυτρόω'],1/1
διαλλαγεὶς,['διαλλάσσω'],['διαλλάσσω'],1/1
κρατῶν,['κρατέω'],['κρατέω'],3/3
εὐσεβέστερος,['εὐσεβής'],['εὐσεβής'],1/1
Διομήδους,['Διομήδης'],['Διομήδης'],1/1
ποθεινότερος,['ποθεινός'],['ποθεινός'],1/1
συναπέθανε,['συναποθνήσκω'],['συναποθνῄσκω'],0/1
Μιλτιάδης,['Μιλτιάδης'],['Μιλτιάδης'],1/1
πλαττόμενος,['πλάσσω'],['πλάσσω'],1/1
ἄμορφος,['ἄμορφος'],['ἄμορφος'],1/1
εὔγηρως,['εὔγηρως'],['εὔγηρως'],1/1
παρέσχηκε,['παρέχω'],['παρέχω'],1/1
θεῶ,['θεάομαι'],['θεάομαι'],1/1
κρινέσθω,['κρίνω'],['κρίνω'],2/2
ἀποκοπὴν,['ἀποκοπή'],['ἀποκοπή'],1/1
σεισάχθειαν,['σεισάχθεια'],['σεισάχθεια'],1/1
προσαγορεύσας,['προσαγορεύω'],['προσαγορεύω'],1/1
φορολογήσας,['φορολογέω'],['φορολογέω'],1/1
Βαρβάρων,['βάρβαρος'],['βάρβαρος'],1/1
Βρασίδαν,['Βρασίδης'],['Βρασίδης'],1/1
πήδημα,['πήδημα'],['πήδημα'],1/1
θεωμένοις,"['θεάω', 'θεάομαι']",['θεάομαι'],1/5
κεραυνίῳ,['κεραύνιος'],['κεραύνιος'],1/1
κατέσκηψε,['κατασκήπτω'],['κατασκήπτω'],1/1
κλίμακας,['κλῖμαξ'],['κλῖμαξ'],12/12
τοξεύμασι,['τόξευμα'],['τόξευμα'],1/1
ξαίνοντι,['ξαίνω'],['ξαίνω'],1/1
περιέθηκας,['περιτίθημι'],['περιτίθημι'],1/1
ἀλαλαγμοὶ,['ἀλαλαγή'],['ἀλαλαγμός'],0/1
μονονοὺ,['μονονού'],['μονονού'],1/1
εὔκλειαν,['εὔκλεια'],['εὔκλεια'],3/3
Πελοπίδας,['Πελοπίδης'],['Πελοπίδης'],2/2
ἀτίμοις,['ἄτιμος'],['ἄτιμος'],1/1
καταπαγέντος,['καταπάσσω'],['καταπήγνυμι'],0/1
παραδοξότατον,['παράδοξος'],['παράδοξος'],1/1
ἀντιπαραβάλλων,['ἀντιπαραβάλλω'],['ἀντιπαραβάλλω'],1/1
πελάσαι,['πελάζω'],['πελάζω'],1/1
συνέχεε,['συγχέω'],['συγχέω'],1/1
προαποθνήσκουσιν,['προαποθνήσκω'],['προαποθνῄσκω'],0/1
μέλιτται,['μέλισσα'],['μέλισσα'],1/1
θεᾶται,['θεάω'],['θεάομαι'],0/1
συνιέντας,['συνίημι'],['συνίημι'],1/1
οἰστόν,['ὀιστός'],['οἰστός'],0/1
θαρρύνων,['θαρσύνω'],['θαρσύνω'],1/1
δειλός,['δειλός'],['δειλός'],1/1
φοβεῖσθ᾽,['φοβέω'],['φοβέω'],1/1
Κριτίαι,['Κριτίης'],['Κριτίας'],0/1
Ἀλκιβιάδαι,['Ἀλκιβιάδης'],['Ἀλκιβιάδης'],1/1
Κλειτοφῶντες,['Κλειτόφων'],['Κλειτόφων'],1/1
χαλινὸν,['χαλινός'],['χαλινός'],1/1
ἐκπτύσαντες,['ἐκπτύω'],['ἐκπτύω'],1/1
παρετράπησαν,['παρατρέπω'],['παρατρέπω'],1/1
Ἀραχωσίους,['Ἀραχώσιος'],['Ἀραχώσιος'],1/1
Σογδιανοὺς,['Σογδιανός'],['Σογδιανός'],1/1
σέβεσθαι,['σέβομαι'],['σέβομαι'],2/2
κατεσθίουσι,['κατεσθίω'],['κατεσθίω'],1/1
Καρνεάδου,['Καρνεάδης'],['Καρνεάδης'],1/1
Κλειτόμαχον,['Κλειτόμαχος'],['Κλειτόμαχος'],1/1
Ἀσδρούβαν,['Ἀσδρούβας'],['Ἀσδρούβας'],17/17
ἀνάγνωσμα,['ἀνάγνωσμα'],['ἀνάγνωσμα'],1/1
Σουσιανῶν,['Σουσιάνος'],['Σουσιάνος'],1/1
τραγῳδίας,['τραγῳδία'],['τραγῳδία'],2/2
Ἀρβήλων,['Ἄρβηλος'],['Ἄρβηλος'],1/1
Κιλικία,['Κιλικία'],['Κιλικία'],1/1
Γράνικος,['Γράνικος'],['Γράνικος'],1/1
Σπιθριδάτῃ,['Σπιθριδάτης'],['Σπιθριδάτης'],1/1
διεπέρασα,['διαπεράω'],['διαπεράω'],1/1
ξένα,['ξένος2'],['ξένος'],0/1
παρεισάγων,['παρεισάγω'],['παρεισάγω'],1/1
συκοφάνταις,['συκοφάντης'],['συκοφάντης'],1/1
προσεκύνησε,['προσκυνέω'],['προσκυνέω'],2/2
πέπεικεν,['πείθω'],['πείθω'],1/1
αὐστηρόν,['αὐστηρός'],['αὐστηρός'],2/2
ἐγκτίσας,['ἐγκτίζω'],['ἐγκτίζω'],1/1
κατασπείρας,['κατασπείρω'],['κατασπείρω'],1/1
ἀνημέρου,['ἀνήμερος'],['ἀνήμερος'],1/1
ἀναγιγνώσκομεν,['ἀναγιγνώσκω'],['ἀναγιγνώσκω'],1/1
μακαριώτεροι,['μακάριος'],['μακάριος'],1/1
ἀπωλόμεθ᾽,['ἀπόλλυμι'],['ἀπόλλυμι'],1/1
ἀπωλόμεθα,['ἀπόλλυμι'],['ἀπόλλυμι'],1/1
ἁλόντων,['ἁλίσκομαι'],['ἁλίσκομαι'],2/2
δικαιότερόν,['δίκαιος'],['δίκαιος'],1/1
ἐκρατήθησαν,['κρατέω'],['κρατέω'],1/1
κόσμει,['κοσμέω'],['κοσμέω'],1/1
σεαυτὴν,['σαυτοῦ'],['σεαυτοῦ'],0/1
σεμνύνου,['σεμνύνω'],['σεμνύνω'],1/1
ἀτρώτοις,['ἄτρωτος'],['ἄτρωτος'],1/1
ἀναιμάκτοις,['ἀναίμακτος'],['ἀναίμακτος'],1/1
Μεσοποταμία,['Μεσοποταμία'],['Μεσοποταμία'],1/1
Προφθασίαν,['προφθασία'],['προφθασία'],1/1
Σογδιανὴ,['Σογδιανή'],['Σογδιανή'],1/1
Βουκεφαλίαν,['Βουκεφάλια'],['Βουκεφαλία'],0/1
παροικοῦσαν,['παροικέω'],['παροικέω'],1/1
ἐμπολισθεῖσιν,['ἐμπολίζω'],['ἐμπολίζω'],1/1
ἄγριον,['ἄγριος'],['ἄγριος'],1/1
ἐθιζόμενον,['ἐθίζω'],['ἐθίζω'],1/1
ἀπαίδευτα,['ἀπαίδευτος'],['ἀπαίδευτος'],1/1
μεθαρμόζειν,['μεθαρμόζω'],['μεθαρμόζω'],1/1
θηριώδεις,['θηριώδης'],['θηριώδης'],2/2
φιλοσοφώτατος,['φιλόσοφος'],['φιλόσοφος'],1/1
θαυμαζομένη,['θαυμάζω'],['θαυμάζω'],1/1
Στωικῶν,['στωικός'],['στωικός'],1/1
καταβαλομένου,['καταβάλλω'],['καταβάλλω'],1/1
οἰκῶμεν,['οἰκέω'],['οἰκέω'],2/2
διωρισμένοι,['διά-ὁρίζω'],['διορίζω'],0/1
συντρεφομένης,['συντρέφω'],['συντρέφω'],1/1
ἀνατυπωσάμενος,['ἀνατυπόω'],['ἀνατυπόω'],1/1
δεσποτικῶς,['δεσποτικός'],['δεσποτικός'],3/3
προσφερόμενος,['προσφέρω'],['προσφέρω'],3/3
φυγῶν,['φυγή'],['φυγή'],1/1
θεόθεν,['θεόθεν'],['θεόθεν'],1/1
διαλλακτὴς,['διαλλακτής'],['διαλλακτής'],1/1
συνῆγε,['συνάγω'],['συνάγω'],5/5
συνενεγκὼν,['συμφέρω'],['συμφέρω'],1/1
κρατῆρι,['κρατήρ'],['κρατήρ'],2/2
φιλοτησίῳ,['φιλοτήσιος'],['φιλοτήσιος'],1/1
μείξας,['μίγνυμι'],['μίγνυμι'],1/1
διαίτας,['δίαιτα'],['δίαιτα'],2/2
πονηρούς,['πονηρός'],['πονηρός'],2/2
πέλτῃ,['πέλτη'],['πέλτη'],1/1
ἀκινάκῃ,['ἀκινάκης'],['ἀκινάκης'],1/1
κάνδυι,['κάνδυς'],['κάνδυς'],1/1
τεκμαίρεσθαι,['τεκμαίρομαι'],['τεκμαίρομαι'],4/4
ἀνακεραννυμένους,['ἀνακεράννυμι'],['ἀνακεράννυμι'],1/1
Δημάρατος,"['Δημ́αρατος', 'Δημάρατος']",['Δημάρατος'],1/2
τεθνηκότας,"['θνήσκω', 'θνῄσκω']",['θνῄσκω'],1/2
θεάματος,['θέαμα'],['θέαμα'],1/1
Ἀρταξέρξαι,['Ἀρταξέρξης'],['Ἀρταξέρξης'],1/1
ἐνίδρυσας,['ἐνιδρύω'],['ἐνιδρύω'],1/1
νυμφαγωγίας,['νυμφαγωγία'],['νυμφαγωγία'],1/1
χρυσωρόφῳ,['χρυσοφόρος'],['χρυσώροφος'],0/1
Περσίδας,['Περσίς'],['Περσίς'],1/1
νύμφας,['νύμφη'],['νύμφη'],1/1
νυμφίους,['νυμφίος1'],['νυμφίος'],0/1
ἀναμέλπων,['ἀναμέλπω'],['ἀναμέλπω'],1/1
φιλοτήσιον,['φιλοτήσιος'],['φιλοτήσιος'],1/1
συνιοῦσι,['σύνειμι1'],['σύνειμι'],0/1
δυνατωτάτοις,['δυνατός'],['δυνατός'],2/2
νυμφίος,['νυμφίος1'],['νυμφίος'],0/2
νυμφαγωγὸς,['νυμφαγωγός'],['νυμφαγωγός'],1/1
ζυγὰ,['ζυγόν'],['ζυγόν'],1/1
βάρβαρε,['βάρβαρος'],['βάρβαρος'],1/1
Ξέρξη,['Ξέρξης'],['Ξέρξης'],1/1
ἀνόητε,['ἀνόητος'],['ἀνόητος'],1/1
πονηθεὶς,['πονέομαι'],['πονέω'],0/1
Εὐρώπῃ,['Εὐρώπη'],['Εὐρώπη'],2/2
συνάπτουσιν,['συνάπτω'],['συνάπτω'],2/2
σχεδίαις,['σχεδία'],['σχεδία'],1/1
ἀψύχοις,['ἄψυχος'],['ἄψυχος'],1/1
ἀσυμπαθέσι,['ἀσυμπαθής'],['ἀσυμπαθής'],1/1
νομίμῳ,['νόμιμος'],['νόμιμος'],1/1
συνάπτοντες,['συνάπτω'],['συνάπτω'],1/1
εὐτελεστέραν,['εὐτελής'],['εὐτελής'],1/1
τραγικὰ,['τραγικός'],['τραγικός'],1/1
βαρβαρικοῦ,['βαρβαρικός'],['βαρβαρικός'],1/1
κάνδυν,['κάνδυς'],['κάνδυς'],2/2
Περσικοῦ,['Περσικός'],['Περσικός'],1/1
Μακεδονικοῦ,['Μακεδονικός'],['Μακεδονικός'],1/1
ἀδιαφόροις,['ἀδιάφορος'],['ἀδιάφορος'],1/1
ἀνακτώμενος,['ἀνακτάομαι'],['ἀνακτάομαι'],1/1
αὐτόχρουν,['αὐτόχροος'],['αὐτόχροος'],1/1
ἀμπέχονται,['ἀμπέχω'],['ἀμπέχω'],1/1
ἄγραις,['ἄγρα'],['ἄγρα'],1/1
διαθηριοῦται,['διαθηριόω'],['διαθηριόω'],1/1
τιθασεύων,['τιθασεύω'],['τιθασεύω'],1/1
μειλισσόμενος,['μειλίσσω'],['μειλίσσω'],1/1
Σωκρατικόν,['Σωκρατικός'],['Σωκρατικός'],1/1
ἀνταγωνιζομένης,['ἀνταγωνίζομαι'],['ἀνταγωνίζομαι'],1/1
ἀνασύρασθαι,['ἀνασύρομαι'],['ἀνασύρω'],0/1
διανοηθείς,['διανοέομαι'],['διανοέω'],0/2
Τρῆρες,['Τρήρης'],['Τρῆρες'],0/1
διανοηθέντα,['διανοέομαι'],['διανοέω'],0/1
τύπτοντα,['τύπτω'],['τύπτω'],1/1
ἀθεότητα,['ἀθεότης'],['ἀθεότης'],1/1
φωνῶν,['φωνή'],['φωνή'],1/1
ἀφέλῃς,['ἀφαιρέω'],['ἀφαιρέω'],1/1
Πυθαγόρου,['Πυθαγόρας'],['Πυθαγόρας'],1/1
φανοῦνται,"['φαίνω', 'φανάω']",['φαίνω'],1/2
εἰκόσιν,['εἰκών'],['εἰκών'],1/1
ἀνδριᾶσι,['ἀνδριάς'],['ἀνδριάς'],1/1
μεγαληγορίας,['μεγαληγορία'],['μεγαληγορία'],1/1
μετριότητος,['μετριότης'],['μετριότης'],2/2
στοχαζόμενοι,['στοχάζομαι'],['στοχάζομαι'],3/3
σκοπῶμεν,['σκοπέω'],['σκοπέω'],1/1
προσεῖπον,['προσεῖπον'],['προσλέγω'],0/1
ποδωκέστατος,['ποδώκης'],['ποδώκης'],1/1
συνδιαθεῖναι,['σύν-διατίθημι'],['συνδιατίθημι'],0/1
Κλειτορίων,['Κλειτόριος'],['Κλειτόριος'],3/3
σιδηροῦν,['σιδήρεος'],['σιδήρεος'],9/9
ἀγώγιμον,['ἀγώγιμος'],['ἀγώγιμος'],1/1
καταγελώμενον,['καταγελάω'],['καταγελάω'],1/1
πρίασθαί,['πρίαμαι'],['πρίαμαι'],1/1
φόρτος,['φόρτος'],['φόρτος'],1/1
ἐμπορικὸς,['ἐμπορικός'],['ἐμπορικός'],1/1
μάντις,['μάντις'],['μάντις'],3/3
ἀγυρτικός,['ἀγυρτικός'],['ἀγυρτικός'],1/1
τροφεύς,['τροφεύς'],['τροφεύς'],1/1
καλλωπισμάτων,['καλλώπισμα'],['καλλώπισμα'],1/1
δημιουργός,['δημιουργός'],['δημιουργός'],1/1
ἀπερημωθεῖσα,['ἀπερημόομαι'],['ἀπερημόομαι'],1/1
ζωπυρούντων,['ζωπυρέω'],['ζωπυρέω'],1/1
ἐμαραίνετο,['μαραίνω'],['μαραίνω'],1/1
ἐγκατῳκοδομημένης,['ἐγκατοικοδομέω'],['ἐγκατοικοδομέω'],1/1
ἀργούσης,['ἀργέω'],['ἀργέω'],1/1
κλιντῆρες,['κλιντήρ'],['κλιντήρ'],1/1
δίφροι,['δίφρος'],['δίφρος'],1/1
ἐδημιουργεῖτο,['δημιουργέω'],['δημιουργέω'],1/1
κώθων,['κώθων'],['κώθων'],1/1
Λακωνικὸς,['Λακωνικός'],['Λακωνικός'],2/2
εὐδοκίμει,['εὐδοκιμέω'],['εὐδοκιμέω'],3/3
πινόμενα,['πίνω'],['πίνω'],1/1
δυσωποῦντα,['δυσωπέω'],['δυσωπέω'],1/1
χρόᾳ,['χροιά'],['χροιά'],1/1
θολεροῦ,['θολερός'],['θολερός'],1/1
προσκόπτοντος,['προσκόπτω'],['προσκόπτω'],1/1
προσισχομένου,['προσίσχω'],['προσίσχω'],1/1
ἄμβωσι,['ἄμβων'],['ἄμβων'],1/1
πινόμενον,['πίνω'],['πίνω'],1/1
ἀχρήστων,['ἄχρηστος'],['ἄχρηστος'],3/3
ἀναγκαίοις,"['ἀναγκαῖον', 'ἀναγκαῖος']",['ἀναγκαῖος'],4/5
καλλιτεχνίαν,['καλλιτεχνία'],['καλλιτεχνία'],1/1
συνιόντας,['σύνειμι2'],['σύνειμι'],0/1
τεταγμένοις,['τάσσω'],['τάσσω'],2/2
σιτίοις,['σιτίον'],['σιτίον'],1/1
διαιτᾶσθαι,['διαιτάω'],['διαιτάω'],2/2
κατακλινέντας,['κατακλίνω'],['κατακλίνω'],1/1
ἀδηφάγα,['ἀδηφάγος'],['ἀδηφάγος'],1/1
πιαινομένους,['πιαίνω'],['πιαίνω'],1/1
ἀνειμένα,['ἀνίημι'],['ἀνίημι'],1/1
πλησμονήν,['πλησμονή'],['πλησμονή'],1/1
λουτρῶν,['λουτρόν'],['λουτρόν'],2/2
νοσηλείας,['νοσηλεία'],['νοσηλεία'],1/1
καθημερινῆς,['καθημερινός'],['καθημερινός'],1/1
ἄπλουτον,['ἄπλουτος'],['ἄπλουτος'],1/1
ἀπεργάσασθαι,['ἀπεργάζομαι'],['ἀπεργάζομαι'],1/1
κοινότητι,['κοινότης'],['κοινότης'],1/1
εὐτελείᾳ,['εὐτέλεια'],['εὐτέλεια'],1/1
βαδίζοντος,['βαδίζω'],['βαδίζω'],1/1
βλέπεσθαι,['βλέπω'],['βλέπω'],1/1
τυφλὸν,['τυφλός'],['τυφλός'],1/1
προδειπνήσαντας,['προδειπνέω'],['προδειπνέω'],1/1
πεπληρωμένους,['πληρόω'],['πληρόω'],1/1
παραφυλάττοντες,['παραφυλάσσω'],['παραφυλάσσω'],3/3
πίνοντα,['πίνω'],['πίνω'],2/2
ἐκάκιζον,['κακίζω'],['κακίζω'],1/1
ἀκρατῆ,['ἀκρατής'],['ἀκρατής'],1/1
ἀπομαλακιζόμενον,['ἀπομαλακίζομαι'],['ἀπομαλακίζομαι'],1/1
ἀφυής,['ἀφυής'],['ἀφυής'],1/1
Ἄλκανδρος,['Ἄλκανδρος'],['Ἄλκανδρος'],1/1
ἐναντίος,['ἐναντίος'],['ἐναντίος'],2/2
Ἄλκανδρον,['Ἄλκανδρος'],['Ἄλκανδρος'],2/2
συναγανακτοῦντας,['συναγανακτέω'],['συναγανακτέω'],2/2
ἀπαλλάξας,['ἀπαλλαξείω'],['ἀπαλλάσσω'],0/2
παραμένων,['παραμένω'],['παραμένω'],2/2
συνδιαιτώμενος,['συνδιαιτάομαι'],['συνδιαιτάομαι'],1/1
κατανοεῖν,['κατανοέω'],['κατανοέω'],8/8
ἀπαθὲς,['ἀπαθής'],['ἀπαθής'],1/1
αὐστηρὸν,['αὐστηρός'],['αὐστηρός'],1/1
ἄκαμπτον,['ἄκαμπτος'],['ἄκαμπτος'],1/1
αὐθάδης,['αὐθάδης'],['αὐθάδης'],1/1
πρᾷός,['πρᾶος'],['πρᾷος'],0/1
ἐκεκόλαστο,['κολάζω'],['κολάζω'],1/1
αὐθάδους,['αὐθάδης'],['αὐθάδης'],1/1
ἐμμελέστατος,['ἐμμελής'],['ἐμμελής'],1/1
σωφρονικώτατος,['σωφρονικός'],['σωφρονικός'],1/1
Διοσκορίδης,['Διοσκορίδης'],['Διοσκορίδης'],1/1
τυφλωθῆναι,['τυφλόω'],['τυφλόω'],1/1
ἀκέσεως,['ἄκεσις'],['ἄκεσις'],1/1
βακτηρίαν,['βακτηρία'],['βακτηρία'],2/2
φιλοφροσύνης,['φιλοφροσύνη'],['φιλοφροσύνη'],3/3
λ,['λ'],['λ'],1/1
συνεθιζόντων,['συνεθίζω'],['συνεθίζω'],1/1
φθόγγον,['φθόγγος'],['φθόγγος'],1/1
συνήρχοντο,"['συνέρχομαι', 'συνάρχω']",['συνέρχομαι'],1/2
συσσίτων,['σύσσιτος'],['σύσσιτος'],2/2
ἀλφίτων,['ἄλφιτον'],['ἄλφιτον'],2/2
μέδιμνον,['μέδιμνος'],['μέδιμνος'],4/4
χόας,['χοῦς1'],['χοῦς'],0/1
σύκων,['σῦκον'],['σῦκον'],1/1
ἀπαρχὴν,['ἀπαρχή'],['ἀπαρχή'],1/1
θηρεύσας,['θηρεύω'],['θηρεύω'],1/1
συσσίτιον,['συσσίτιον'],['συσσίτιον'],3/3
Εὐρυπωντίδας,['Εὐρυπωντίδης'],['Εὐρυπωντίδαι'],0/1
κυνηγῶν,['κυνηγέω'],['κυνηγέω'],1/1
συσσιτήσεις,['συσσιτήσις'],['συσσίτησις'],0/1
καταπεπολεμηκὼς,['καταπολεμέω'],['καταπολεμέω'],1/1
πολέμαρχοι,['πολέμαρχος'],['πολέμαρχος'],1/1
παιδευτὰς,['παιδευτός'],['παιδευτός'],1/1
εἰθίζοντο,['ἐθίζω'],['ἐθίζω'],3/3
σκώπτειν,['σκώπτω'],['σκώπτω'],1/1
βωμολοχίας,['βωμολοχία'],['βωμολοχία'],1/1
σκωπτόμενοι,['σκώπτω'],['σκώπτω'],1/1
Λακωνικὸν,['Λακωνικός'],['Λακωνικός'],4/4
παραιτεῖσθαι,['παραιτέομαι'],['παραιτέομαι'],4/4
εἰσιόντων,['εἴσειμι'],['εἴσειμι'],2/2
ἐκπορεύεται,['ἐκπορεύω'],['ἐκπορεύω'],1/1
δοκιμάζεσθαι,['δοκιμάζω'],['δοκιμάζω'],1/1
συσσιτίου,['συσσίτιον'],['συσσίτιον'],1/1
ἀπομαγδαλίαν,['ἀπομαγδαλία'],['ἀπομαγδαλία'],1/1
διακόνου,['διάκονος'],['διάκονος'],1/1
ἀγγεῖον,['ἀγγεῖον'],['ἀγγεῖον'],2/2
δοκιμάζων,['δοκιμάζω'],['δοκιμάζω'],2/2
ἐκκρίνων,['ἐκκρίνω'],['ἐκκρίνω'],1/1
πιέσας,['πιέζω'],['πιέζω'],1/1
πεπιεσμένη,['πιέζω'],['πιέζω'],1/1
τετρημένης,['τετραίνω'],['τετραίνω'],1/1
θρασυνομένου,['θρασύνω'],['θρασύνω'],1/1
εὕρωσι,['εὑρίσκω'],['εὑρίσκω'],1/1
προσδέχονται,['προσδέχομαι'],['προσδέχομαι'],1/1
ἀποδοκιμασθέντα,['ἀποδοκιμάζω'],['ἀποδοκιμάζω'],1/1
κεκαδδίσθαι,['κεκαδδίσθαι'],['καδδίζω'],0/1
κάδδιχος,['κάδδιχος'],['κάδδιχος'],1/1
ἀπομαγδαλίας,['ἀπομαγδαλία'],['ἀπομαγδαλία'],1/1
ἐμβάλλουσι,['ἐμβάλλω'],['ἐμβάλλω'],1/1
μέλας,['μέλας'],['μέλας'],1/1
ζωμός,['ζωμός'],['ζωμός'],1/1
κρεαδίου,['κρεάδιον'],['κρεάδιον'],1/1
παραχωρεῖν,['παραχωρέω'],['παραχωρέω'],3/3
καταχεομένους,['καταχέω'],['καταχέω'],1/1
Ποντικῶν,['ποντικός'],['ποντικός'],1/1
γευσάμενον,['γεύω'],['γεύω'],1/1
δυσχερᾶναι,['δυσχεραίνω'],['δυσχεραίνω'],1/1
Εὐρώτᾳ,['Εὐρώτας'],['Εὐρώτας'],1/1
ἀπίασι,['ἄπειμι2'],['ἄπειμι'],0/1
λαμπάδος,['λαμπάς2'],['λαμπάς'],0/1
ἐθίζωνται,['ἐθίζω'],['ἐθίζω'],1/1
κυριώτατα,['κύριος'],['κύριος'],1/1
ἐγκατεστοιχειωμένα,['ἐγκαταστοιχειόω'],['ἐγκαταστοιχειόω'],1/1
ἀκίνητα,['ἀκίνητος'],['ἀκίνητος'],2/2
παίδευσις,['παίδευσις'],['παίδευσις'],2/2
ἀπεργαζομένη,['ἀπεργάζομαι'],['ἀπεργάζομαι'],1/1
χρηματικὰ,['χρηματικός'],['χρηματικός'],1/1
μεταπίπτοντα,['μεταπίπτω'],['μεταπίπτω'],1/1
καταλαμβάνειν,['καταλαμβάνω'],['καταλαμβάνω'],1/1
ἐγγράφοις,['ἔγγραφος'],['ἔγγραφος'],2/2
ἀκινήτοις,['ἀκίνητος'],['ἀκίνητος'],2/2
προσθέσεις,['πρόσθεσις'],['πρόσθεσις'],1/1
πεπαιδευμένοι,['παιδεύω'],['παιδεύω'],2/2
δοκιμάσωσι,['δοκιμάζω'],['δοκιμάζω'],1/1
πελέκεως,['πέλεκυς'],['πέλεκυς'],1/1
πρίονος,['πρίων1'],['πρίων'],0/1
εἰργασμένας,['ἐργάζομαι'],['ἐργάζομαι'],1/1
ἀπειρόκαλος,['ἀπειρόκαλος'],['ἀπειρόκαλος'],1/1
ἀφελῆ,['ἀφελής'],['ἀφελής'],2/2
ἀργυρόποδας,['ἀργυρόπους'],['ἀργυρόπους'],1/1
κύλικας,['κύλιξ'],['κύλιξ'],1/1
